t,robot,x,y
156.0,leo1,1.011,0.012
158.0,leo1,1.043,0.000
160.0,leo1,1.097,-0.113
162.0,leo1,1.022,-0.589
164.0,leo1,0.970,-1.032
166.0,leo1,0.953,-1.095
168.0,leo1,0.953,-1.095
170.0,leo1,0.963,-1.108
172.0,leo1,1.074,-1.172
174.0,leo1,1.511,-1.134
176.0,leo1,2.034,-1.120
178.0,leo1,2.570,-1.099
180.0,leo1,3.086,-1.037
182.0,leo1,3.571,-1.000
184.0,leo1,4.091,-1.073
186.0,leo1,4.571,-1.076
188.0,leo1,4.725,-1.038
190.0,leo1,4.741,-1.029
192.0,leo1,4.729,-1.080
194.0,leo1,4.716,-1.039
196.0,leo1,4.502,-1.031
198.0,leo1,4.301,-1.094
200.0,leo1,4.304,-1.099
202.0,leo1,4.304,-1.099
204.0,leo1,4.304,-1.099
206.0,leo1,4.262,-1.012
208.0,leo1,4.216,-0.917
210.0,leo1,4.171,-0.826
212.0,leo1,4.167,-0.813
214.0,leo1,4.172,-0.817
216.0,leo1,4.200,-0.827
218.0,leo1,4.200,-0.827
220.0,leo1,4.200,-0.827
222.0,leo1,4.485,-1.093
224.0,leo1,4.862,-1.470
226.0,leo1,4.850,-1.753
228.0,leo1,5.256,-1.917
230.0,leo1,5.571,-2.316
232.0,leo1,5.751,-2.476
234.0,leo1,5.718,-2.466
236.0,leo1,5.751,-2.452
238.0,leo1,5.738,-2.378
240.0,leo1,5.715,-1.968
242.0,leo1,5.761,-1.725
244.0,leo1,6.124,-1.543
246.0,leo1,6.219,-1.498
248.0,leo1,6.253,-1.511
250.0,leo1,6.231,-1.519
252.0,leo1,6.066,-1.734
254.0,leo1,5.636,-2.134
256.0,leo1,5.542,-2.474
258.0,leo1,5.530,-2.980
260.0,leo1,5.520,-3.491
262.0,leo1,5.517,-4.023
264.0,leo1,5.500,-4.540
266.0,leo1,5.488,-5.061
268.0,leo1,5.420,-5.576
270.0,leo1,5.361,-6.106
272.0,leo1,5.244,-6.606
274.0,leo1,5.128,-6.956
276.0,leo1,5.128,-6.954
278.0,leo1,5.128,-6.954
280.0,leo1,5.128,-6.954
282.0,leo1,4.943,-7.176
284.0,leo1,4.576,-7.564
286.0,leo1,4.220,-7.931
288.0,leo1,3.863,-8.327
290.0,leo1,3.657,-8.776
292.0,leo1,3.588,-9.285
294.0,leo1,3.566,-9.806
296.0,leo1,3.567,-10.182
298.0,leo1,3.566,-10.197
300.0,leo1,3.566,-10.197
302.0,leo1,3.575,-10.212
304.0,leo1,3.699,-10.289
306.0,leo1,4.067,-10.249
308.0,leo1,4.194,-10.273
310.0,leo1,4.207,-10.265
312.0,leo1,4.207,-10.274
314.0,leo1,4.161,-10.165
316.0,leo1,3.873,-9.848
318.0,leo1,3.372,-9.454
320.0,leo1,3.001,-9.074
322.0,leo1,2.620,-8.732
324.0,leo1,2.133,-8.552
326.0,leo1,1.607,-8.491
328.0,leo1,1.104,-8.431
330.0,leo1,0.577,-8.322
332.0,leo1,0.240,-8.191
334.0,leo1,-0.167,-8.027
336.0,leo1,-0.626,-7.811
338.0,leo1,-1.115,-7.606
340.0,leo1,-1.581,-7.366
342.0,leo1,-2.012,-7.118
344.0,leo1,-2.350,-6.909
346.0,leo1,-2.373,-6.896
348.0,leo1,-2.373,-6.896
350.0,leo1,-2.388,-6.876
352.0,leo1,-2.402,-6.564
354.0,leo1,-2.223,-6.044
356.0,leo1,-1.998,-5.560
358.0,leo1,-1.646,-5.169
360.0,leo1,-1.439,-4.954
362.0,leo1,-1.348,-4.888
364.0,leo1,-1.299,-4.859
366.0,leo1,-1.295,-4.856
368.0,leo1,-1.292,-4.854
370.0,leo1,-1.290,-4.853
372.0,leo1,-1.290,-4.853
374.0,leo1,-1.292,-4.854
376.0,leo1,-1.292,-4.854
378.0,leo1,-1.292,-4.854
380.0,leo1,-1.292,-4.854
382.0,leo1,-1.291,-4.854
384.0,leo1,-1.291,-4.854
386.0,leo1,-1.291,-4.853
388.0,leo1,-1.291,-4.853
390.0,leo1,-1.290,-4.853
392.0,leo1,-1.289,-4.852
394.0,leo1,-1.289,-4.852
396.0,leo1,-1.288,-4.852
398.0,leo1,-1.287,-4.851
400.0,leo1,-1.287,-4.851
402.0,leo1,-1.286,-4.851
404.0,leo1,-1.285,-4.850
406.0,leo1,-1.285,-4.850
408.0,leo1,-1.285,-4.850
410.0,leo1,-1.285,-4.850
412.0,leo1,-1.285,-4.850
414.0,leo1,-1.283,-4.849
416.0,leo1,-1.282,-4.848
418.0,leo1,-1.281,-4.848
420.0,leo1,-1.281,-4.847
422.0,leo1,-1.281,-4.847
424.0,leo1,-1.280,-4.847
426.0,leo1,-1.280,-4.846
428.0,leo1,-1.279,-4.846
430.0,leo1,-1.279,-4.846
432.0,leo1,-1.279,-4.846
434.0,leo1,-1.392,-4.911
436.0,leo1,-1.468,-4.955
438.0,leo1,-1.512,-4.981
440.0,leo1,-1.555,-5.005
442.0,leo1,-1.588,-5.024
444.0,leo1,-1.638,-5.052
446.0,leo1,-1.751,-5.114
