coverage: t=30s known=15.6m2 free=14.5m2 occ=1.2m2 (96x190)
coverage: t=60s known=28.8m2 free=26.3m2 occ=2.4m2 (266x217)
coverage: t=90s known=30.8m2 free=28.3m2 occ=2.5m2 (266x217)
coverage: t=120s known=48.9m2 free=45.1m2 occ=3.8m2 (283x255)
coverage: t=150s known=81.3m2 free=75.4m2 occ=5.9m2 (283x268)
coverage: t=180s known=87.5m2 free=81.0m2 occ=6.5m2 (283x268)
coverage: t=210s known=88.1m2 free=81.4m2 occ=6.7m2 (283x268)
coverage: t=240s known=89.4m2 free=82.6m2 occ=6.8m2 (283x268)
coverage: t=270s known=90.0m2 free=83.1m2 occ=7.0m2 (283x269)
coverage: t=300s known=90.1m2 free=83.1m2 occ=7.0m2 (283x269)
coverage: t=330s known=97.3m2 free=89.8m2 occ=7.4m2 (283x270)
coverage: t=360s known=100.5m2 free=92.4m2 occ=8.1m2 (283x270)
coverage: t=390s known=100.5m2 free=92.4m2 occ=8.1m2 (283x270)
coverage: t=420s known=100.5m2 free=92.4m2 occ=8.1m2 (283x270)
coverage: t=450s known=100.5m2 free=92.4m2 occ=8.1m2 (283x270)
coverage: t=480s known=100.5m2 free=92.4m2 occ=8.1m2 (283x270)
coverage: t=510s known=100.6m2 free=92.4m2 occ=8.1m2 (283x270)
coverage: t=540s known=100.6m2 free=92.4m2 occ=8.1m2 (283x270)
coverage: t=570s known=100.6m2 free=92.4m2 occ=8.1m2 (283x270)
coverage: t=600s known=100.6m2 free=92.4m2 occ=8.1m2 (283x270)
coverage: t=630s known=100.7m2 free=92.5m2 occ=8.2m2 (283x270)
coverage: t=660s known=101.2m2 free=93.0m2 occ=8.3m2 (283x270)
coverage: t=690s known=101.3m2 free=93.0m2 occ=8.3m2 (283x270)
coverage: t=720s known=105.9m2 free=97.5m2 occ=8.5m2 (283x270)
coverage: t=750s known=113.1m2 free=104.3m2 occ=8.8m2 (283x270)
coverage: t=780s known=114.9m2 free=105.7m2 occ=9.2m2 (283x270)
coverage: t=810s known=134.2m2 free=121.2m2 occ=13.0m2 (341x333)
coverage: t=840s known=135.2m2 free=122.0m2 occ=13.2m2 (373x333)
coverage: t=870s known=135.3m2 free=121.9m2 occ=13.3m2 (373x333)
coverage: t=900s known=135.3m2 free=121.9m2 occ=13.4m2 (373x333)
coverage: t=930s known=135.3m2 free=121.9m2 occ=13.4m2 (373x333)
coverage: t=960s known=135.3m2 free=121.9m2 occ=13.4m2 (373x333)
coverage: t=990s known=135.3m2 free=121.9m2 occ=13.4m2 (373x333)
coverage: t=1020s known=135.3m2 free=121.9m2 occ=13.4m2 (373x333)
coverage: t=1050s known=135.3m2 free=121.9m2 occ=13.4m2 (373x333)
coverage: t=1080s known=135.3m2 free=121.9m2 occ=13.4m2 (373x333)
coverage: t=1110s known=135.3m2 free=121.9m2 occ=13.4m2 (373x333)
coverage: t=1140s known=135.3m2 free=121.9m2 occ=13.4m2 (373x333)
coverage: t=1170s known=135.3m2 free=121.9m2 occ=13.4m2 (373x333)
coverage: t=1200s known=135.3m2 free=121.9m2 occ=13.4m2 (373x333)
coverage: t=1230s known=135.3m2 free=121.9m2 occ=13.4m2 (373x333)
coverage: t=1260s known=135.3m2 free=121.9m2 occ=13.4m2 (373x333)
coverage: t=1290s known=135.3m2 free=121.9m2 occ=13.4m2 (373x333)
coverage: t=1320s known=135.3m2 free=121.9m2 occ=13.4m2 (373x333)
coverage: t=1350s known=135.3m2 free=121.9m2 occ=13.4m2 (373x333)
coverage: t=1380s known=135.3m2 free=121.9m2 occ=13.4m2 (373x333)
