t,robot,x,y
55.0,leo1,0.000,0.000
56.0,leo1,0.000,0.000
57.0,leo1,0.000,0.000
58.0,leo1,0.000,0.000
59.0,leo1,0.000,0.000
60.0,leo1,0.000,0.000
61.0,leo1,0.038,-0.003
62.0,leo1,0.144,0.011
63.0,leo1,0.272,0.007
64.0,leo1,0.393,0.003
65.0,leo1,0.527,-0.001
66.0,leo1,0.639,-0.004
67.0,leo1,0.757,-0.001
68.0,leo1,0.882,-0.011
69.0,leo1,1.009,-0.005
70.0,leo1,1.117,-0.018
71.0,leo1,1.241,-0.013
72.0,leo1,1.241,-0.013
73.0,leo1,1.241,-0.013
74.0,leo1,1.241,-0.013
75.0,leo1,1.241,-0.013
76.0,leo1,1.241,-0.013
77.0,leo1,1.241,-0.013
78.0,leo1,1.241,-0.013
79.0,leo1,1.241,-0.013
80.0,leo1,1.251,-0.013
81.0,leo1,1.237,0.004
82.0,leo1,1.248,0.007
83.0,leo1,1.259,0.010
84.0,leo1,1.267,0.013
85.0,leo1,1.273,0.015
86.0,leo1,1.238,0.036
87.0,leo1,1.240,0.037
88.0,leo1,1.240,0.038
89.0,leo1,1.240,0.037
90.0,leo1,1.240,0.037
91.0,leo1,1.239,0.036
92.0,leo1,1.238,0.034
93.0,leo1,1.275,0.109
94.0,leo1,1.304,0.390
95.0,leo1,1.392,0.628
96.0,leo1,1.440,0.872
97.0,leo1,1.430,1.139
98.0,leo1,1.429,1.380
99.0,leo1,1.455,1.646
100.0,leo1,1.485,1.913
101.0,leo1,1.553,2.145
102.0,leo1,1.675,2.364
103.0,leo1,1.876,2.538
104.0,leo1,2.065,2.713
105.0,leo1,2.255,2.884
106.0,leo1,2.344,2.951
107.0,leo1,2.340,2.949
108.0,leo1,2.336,2.947
109.0,leo1,2.329,2.943
110.0,leo1,2.321,2.941
111.0,leo1,2.310,2.938
112.0,leo1,2.298,2.936
113.0,leo1,2.325,2.903
114.0,leo1,2.330,2.902
115.0,leo1,2.343,2.900
116.0,leo1,2.355,2.897
117.0,leo1,2.364,2.894
118.0,leo1,2.371,2.891
119.0,leo1,2.377,2.887
120.0,leo1,2.381,2.885
121.0,leo1,2.341,2.820
122.0,leo1,2.342,2.820
123.0,leo1,2.343,2.819
124.0,leo1,2.343,2.819
125.0,leo1,2.343,2.819
126.0,leo1,2.341,2.822
127.0,leo1,2.339,2.825
128.0,leo1,2.337,2.829
129.0,leo1,2.334,2.837
130.0,leo1,2.331,2.847
131.0,leo1,2.329,2.859
132.0,leo1,2.292,2.823
133.0,leo1,2.292,2.837
134.0,leo1,2.290,2.820
135.0,leo1,2.288,2.808
136.0,leo1,2.285,2.799
137.0,leo1,2.282,2.790
138.0,leo1,2.279,2.784
139.0,leo1,2.275,2.779
140.0,leo1,2.200,2.816
141.0,leo1,2.116,2.706
142.0,leo1,1.920,2.561
143.0,leo1,1.701,2.428
144.0,leo1,1.495,2.262
145.0,leo1,1.288,2.083
146.0,leo1,1.098,1.911
147.0,leo1,0.905,1.741
148.0,leo1,0.709,1.574
149.0,leo1,0.511,1.405
150.0,leo1,0.308,1.234
151.0,leo1,0.109,1.062
152.0,leo1,-0.098,0.900
153.0,leo1,-0.309,0.744
154.0,leo1,-0.520,0.596
155.0,leo1,-0.665,0.468
156.0,leo1,-0.676,0.458
157.0,leo1,-0.676,0.459
158.0,leo1,-0.675,0.459
159.0,leo1,-0.673,0.463
160.0,leo1,-0.672,0.463
161.0,leo1,-0.674,0.461
162.0,leo1,-0.729,0.405
163.0,leo1,-0.922,0.256
164.0,leo1,-1.122,0.091
165.0,leo1,-1.296,-0.062
166.0,leo1,-1.326,-0.092
167.0,leo1,-1.325,-0.091
168.0,leo1,-1.324,-0.090
169.0,leo1,-1.321,-0.086
170.0,leo1,-1.319,-0.082
171.0,leo1,-1.316,-0.075
172.0,leo1,-1.312,-0.067
173.0,leo1,-1.309,-0.056
174.0,leo1,-1.307,-0.044
175.0,leo1,-1.265,-0.088
176.0,leo1,-1.265,-0.098
177.0,leo1,-1.264,-0.111
178.0,leo1,-1.261,-0.123
179.0,leo1,-1.258,-0.133
180.0,leo1,-1.191,-0.128
181.0,leo1,-1.068,-0.314
182.0,leo1,-0.905,-0.519
183.0,leo1,-0.752,-0.730
184.0,leo1,-0.614,-0.948
185.0,leo1,-0.526,-1.088
186.0,leo1,-0.526,-1.085
187.0,leo1,-0.529,-1.080
188.0,leo1,-0.532,-1.072
189.0,leo1,-0.535,-1.062
190.0,leo1,-0.537,-1.050
191.0,leo1,-0.538,-1.037
192.0,leo1,-0.582,-1.085
193.0,leo1,-0.583,-1.099
194.0,leo1,-0.586,-1.114
195.0,leo1,-0.587,-1.116
196.0,leo1,-0.584,-1.103
197.0,leo1,-0.582,-1.088
198.0,leo1,-0.582,-1.092
199.0,leo1,-0.581,-1.104
200.0,leo1,-0.579,-1.118
201.0,leo1,-0.576,-1.128
202.0,leo1,-0.532,-1.105
203.0,leo1,-0.418,-1.282
204.0,leo1,-0.252,-1.480
205.0,leo1,-0.088,-1.694
206.0,leo1,0.078,-1.893
207.0,leo1,0.236,-2.088
208.0,leo1,0.402,-2.291
209.0,leo1,0.556,-2.496
210.0,leo1,0.715,-2.703
211.0,leo1,0.882,-2.911
212.0,leo1,1.053,-3.098
213.0,leo1,1.245,-3.283
214.0,leo1,1.412,-3.475
215.0,leo1,1.555,-3.694
216.0,leo1,1.637,-3.819
217.0,leo1,1.638,-3.820
218.0,leo1,1.638,-3.820
219.0,leo1,1.637,-3.819
220.0,leo1,1.636,-3.818
221.0,leo1,1.633,-3.816
222.0,leo1,1.629,-3.814
223.0,leo1,1.621,-3.810
224.0,leo1,1.613,-3.806
225.0,leo1,1.624,-3.809
226.0,leo1,1.871,-3.796
227.0,leo1,2.111,-3.795
228.0,leo1,2.330,-3.714
229.0,leo1,2.503,-3.520
230.0,leo1,2.642,-3.354
231.0,leo1,2.661,-3.345
232.0,leo1,2.661,-3.345
233.0,leo1,2.660,-3.345
234.0,leo1,2.658,-3.347
235.0,leo1,2.653,-3.349
236.0,leo1,2.648,-3.352
237.0,leo1,2.639,-3.355
238.0,leo1,2.628,-3.358
239.0,leo1,2.614,-3.360
240.0,leo1,2.601,-3.361
241.0,leo1,2.597,-3.361
242.0,leo1,2.610,-3.363
243.0,leo1,2.622,-3.366
244.0,leo1,2.634,-3.370
245.0,leo1,2.642,-3.374
246.0,leo1,2.648,-3.377
247.0,leo1,2.652,-3.380
248.0,leo1,2.655,-3.382
249.0,leo1,2.656,-3.383
250.0,leo1,2.656,-3.383
251.0,leo1,2.688,-3.423
252.0,leo1,2.814,-3.724
253.0,leo1,2.913,-3.960
254.0,leo1,3.045,-4.175
255.0,leo1,3.202,-4.384
256.0,leo1,3.337,-4.605
257.0,leo1,3.496,-4.814
258.0,leo1,3.634,-5.052
259.0,leo1,3.768,-5.260
260.0,leo1,3.939,-5.426
261.0,leo1,3.975,-5.448
262.0,leo1,3.967,-5.445
263.0,leo1,3.959,-5.442
264.0,leo1,3.946,-5.438
265.0,leo1,3.932,-5.436
266.0,leo1,3.961,-5.397
267.0,leo1,3.971,-5.397
268.0,leo1,3.980,-5.396
269.0,leo1,3.990,-5.394
270.0,leo1,3.998,-5.392
271.0,leo1,4.004,-5.390
272.0,leo1,3.971,-5.342
273.0,leo1,3.976,-5.339
274.0,leo1,3.980,-5.337
275.0,leo1,3.982,-5.336
276.0,leo1,3.983,-5.335
277.0,leo1,3.984,-5.335
278.0,leo1,3.983,-5.335
279.0,leo1,3.983,-5.336
280.0,leo1,3.982,-5.336
281.0,leo1,3.981,-5.338
282.0,leo1,3.978,-5.342
283.0,leo1,3.976,-5.346
284.0,leo1,3.972,-5.354
285.0,leo1,3.969,-5.362
286.0,leo1,3.966,-5.372
287.0,leo1,3.964,-5.383
288.0,leo1,3.910,-5.334
289.0,leo1,3.910,-5.330
290.0,leo1,3.909,-5.319
291.0,leo1,3.908,-5.310
292.0,leo1,3.906,-5.300
293.0,leo1,3.904,-5.292
294.0,leo1,3.900,-5.283
295.0,leo1,3.840,-5.316
296.0,leo1,3.838,-5.312
297.0,leo1,3.836,-5.309
298.0,leo1,3.836,-5.308
299.0,leo1,3.836,-5.308
300.0,leo1,3.836,-5.308
301.0,leo1,3.857,-5.329
302.0,leo1,3.886,-5.356
303.0,leo1,3.923,-5.402
304.0,leo1,3.954,-5.430
305.0,leo1,3.972,-5.445
306.0,leo1,4.001,-5.471
307.0,leo1,4.017,-5.495
308.0,leo1,3.868,-5.390
309.0,leo1,3.635,-5.274
310.0,leo1,3.409,-5.136
311.0,leo1,3.197,-4.987
312.0,leo1,2.980,-4.846
313.0,leo1,2.763,-4.702
314.0,leo1,2.546,-4.558
315.0,leo1,2.335,-4.397
316.0,leo1,2.118,-4.253
317.0,leo1,1.886,-4.126
318.0,leo1,1.674,-3.984
319.0,leo1,1.439,-3.862
320.0,leo1,1.225,-3.719
321.0,leo1,1.011,-3.570
322.0,leo1,0.795,-3.426
323.0,leo1,0.581,-3.287
324.0,leo1,0.364,-3.149
325.0,leo1,0.119,-3.029
326.0,leo1,-0.083,-2.892
327.0,leo1,-0.305,-2.743
328.0,leo1,-0.520,-2.599
329.0,leo1,-0.749,-2.453
330.0,leo1,-0.951,-2.312
331.0,leo1,-1.185,-2.189
332.0,leo1,-1.414,-2.065
333.0,leo1,-1.637,-1.931
334.0,leo1,-1.857,-1.797
335.0,leo1,-2.077,-1.652
336.0,leo1,-2.299,-1.510
337.0,leo1,-2.512,-1.363
338.0,leo1,-2.733,-1.228
339.0,leo1,-2.943,-1.076
340.0,leo1,-3.162,-0.943
341.0,leo1,-3.376,-0.776
342.0,leo1,-3.585,-0.626
343.0,leo1,-3.794,-0.491
344.0,leo1,-3.952,-0.357
345.0,leo1,-4.079,-0.220
346.0,leo1,-4.190,-0.076
347.0,leo1,-4.262,0.060
348.0,leo1,-4.275,0.298
349.0,leo1,-4.242,0.500
350.0,leo1,-4.251,0.752
351.0,leo1,-4.283,0.874
352.0,leo1,-4.296,0.871
353.0,leo1,-4.298,0.876
354.0,leo1,-4.300,0.879
355.0,leo1,-4.301,0.881
356.0,leo1,-4.301,0.881
357.0,leo1,-4.301,0.881
358.0,leo1,-4.300,0.880
359.0,leo1,-4.299,0.879
360.0,leo1,-4.297,0.877
361.0,leo1,-4.293,0.875
362.0,leo1,-4.287,0.872
363.0,leo1,-4.279,0.868
364.0,leo1,-4.268,0.864
365.0,leo1,-4.254,0.861
366.0,leo1,-4.299,0.815
367.0,leo1,-4.301,0.814
368.0,leo1,-4.316,0.813
369.0,leo1,-4.330,0.811
370.0,leo1,-4.341,0.808
371.0,leo1,-4.348,0.806
372.0,leo1,-4.317,0.746
373.0,leo1,-4.322,0.743
374.0,leo1,-4.324,0.741
375.0,leo1,-4.325,0.740
376.0,leo1,-4.325,0.741
377.0,leo1,-4.325,0.741
378.0,leo1,-4.324,0.741
379.0,leo1,-4.324,0.742
380.0,leo1,-4.321,0.746
381.0,leo1,-4.319,0.750
382.0,leo1,-4.318,0.751
383.0,leo1,-4.367,0.571
384.0,leo1,-4.418,0.469
385.0,leo1,-4.415,0.477
386.0,leo1,-4.421,0.462
387.0,leo1,-4.519,0.298
388.0,leo1,-4.599,0.183
389.0,leo1,-4.688,0.075
390.0,leo1,-4.871,-0.100
391.0,leo1,-5.051,-0.265
392.0,leo1,-5.207,-0.414
393.0,leo1,-5.308,-0.591
394.0,leo1,-5.349,-0.841
395.0,leo1,-5.339,-1.102
396.0,leo1,-5.357,-1.351
397.0,leo1,-5.331,-1.591
398.0,leo1,-5.329,-1.832
399.0,leo1,-5.324,-2.101
400.0,leo1,-5.314,-2.356
401.0,leo1,-5.322,-2.627
402.0,leo1,-5.317,-2.874
403.0,leo1,-5.310,-3.129
404.0,leo1,-5.303,-3.224
405.0,leo1,-5.303,-3.224
406.0,leo1,-5.301,-3.238
407.0,leo1,-5.299,-3.250
408.0,leo1,-5.296,-3.258
409.0,leo1,-5.293,-3.265
410.0,leo1,-5.262,-3.222
411.0,leo1,-5.259,-3.226
412.0,leo1,-5.258,-3.228
413.0,leo1,-5.258,-3.228
414.0,leo1,-5.258,-3.228
415.0,leo1,-5.259,-3.228
416.0,leo1,-5.259,-3.227
417.0,leo1,-5.261,-3.226
418.0,leo1,-5.265,-3.223
419.0,leo1,-5.272,-3.219
420.0,leo1,-5.280,-3.216
421.0,leo1,-5.291,-3.212
422.0,leo1,-5.303,-3.209
423.0,leo1,-5.176,-3.210
424.0,leo1,-4.871,-3.126
425.0,leo1,-4.617,-3.135
426.0,leo1,-4.352,-3.143
427.0,leo1,-4.089,-3.145
428.0,leo1,-3.830,-3.143
429.0,leo1,-3.563,-3.136
430.0,leo1,-3.303,-3.144
431.0,leo1,-3.041,-3.148
432.0,leo1,-2.785,-3.136
433.0,leo1,-2.530,-3.146
434.0,leo1,-2.256,-3.145
435.0,leo1,-1.999,-3.151
436.0,leo1,-1.745,-3.143
437.0,leo1,-1.472,-3.150
438.0,leo1,-1.211,-3.156
439.0,leo1,-0.952,-3.175
440.0,leo1,-0.690,-3.168
441.0,leo1,-0.449,-3.214
442.0,leo1,-0.186,-3.280
443.0,leo1,0.059,-3.345
