t,robot,x,y
128.0,leo1,0.975,0.016
130.0,leo1,0.975,0.016
132.0,leo1,0.975,0.016
134.0,leo1,0.975,0.016
136.0,leo1,0.975,0.016
138.0,leo1,1.003,0.028
140.0,leo1,1.075,0.152
142.0,leo1,1.007,0.615
144.0,leo1,0.992,0.832
146.0,leo1,0.981,0.857
148.0,leo1,1.010,0.847
150.0,leo1,0.982,0.822
152.0,leo1,0.926,0.606
154.0,leo1,1.045,0.115
156.0,leo1,1.221,-0.457
158.0,leo1,1.364,-0.719
160.0,leo1,1.308,-0.915
162.0,leo1,0.934,-1.317
164.0,leo1,0.581,-1.709
166.0,leo1,0.424,-1.883
168.0,leo1,0.424,-1.883
170.0,leo1,0.293,-1.969
172.0,leo1,-0.176,-2.050
174.0,leo1,-0.694,-2.171
176.0,leo1,-1.193,-2.324
178.0,leo1,-1.683,-2.541
180.0,leo1,-2.169,-2.753
182.0,leo1,-2.559,-2.962
184.0,leo1,-2.659,-3.031
186.0,leo1,-2.627,-3.022
188.0,leo1,-2.661,-3.012
190.0,leo1,-2.682,-2.799
192.0,leo1,-2.472,-2.262
194.0,leo1,-2.233,-1.851
196.0,leo1,-2.104,-1.736
198.0,leo1,-2.119,-1.783
200.0,leo1,-2.220,-1.636
202.0,leo1,-2.228,-1.643
204.0,leo1,-2.228,-1.643
206.0,leo1,-2.228,-1.643
208.0,leo1,-2.199,-1.610
210.0,leo1,-2.195,-1.526
212.0,leo1,-2.140,-1.449
214.0,leo1,-2.082,-1.366
216.0,leo1,-2.076,-1.375
218.0,leo1,-2.080,-1.366
220.0,leo1,-2.103,-1.379
222.0,leo1,-2.181,-1.406
224.0,leo1,-2.569,-1.328
226.0,leo1,-3.072,-1.120
228.0,leo1,-3.266,-0.808
230.0,leo1,-3.323,-0.652
232.0,leo1,-3.300,-0.658
234.0,leo1,-3.284,-0.662
236.0,leo1,-3.284,-0.662
238.0,leo1,-3.332,-0.634
240.0,leo1,-3.455,-0.423
242.0,leo1,-3.477,0.069
244.0,leo1,-3.324,0.531
246.0,leo1,-3.028,0.818
248.0,leo1,-2.757,0.975
250.0,leo1,-2.755,0.975
252.0,leo1,-2.755,0.975
254.0,leo1,-2.699,1.016
256.0,leo1,-2.414,1.034
258.0,leo1,-2.176,0.918
260.0,leo1,-2.083,0.834
262.0,leo1,-2.082,0.832
264.0,leo1,-2.082,0.832
266.0,leo1,-2.108,0.841
268.0,leo1,-1.847,0.948
270.0,leo1,-1.437,1.198
272.0,leo1,-1.072,1.133
274.0,leo1,-0.770,0.883
276.0,leo1,-0.651,0.436
278.0,leo1,-0.529,-0.073
280.0,leo1,-0.526,-0.593
282.0,leo1,-0.540,-1.126
284.0,leo1,-0.540,-1.632
286.0,leo1,-0.556,-2.149
288.0,leo1,-0.619,-2.680
290.0,leo1,-0.736,-3.181
292.0,leo1,-0.864,-3.685
294.0,leo1,-1.030,-4.185
296.0,leo1,-1.318,-4.625
298.0,leo1,-1.693,-4.978
300.0,leo1,-1.866,-5.157
302.0,leo1,-1.860,-5.148
304.0,leo1,-1.860,-5.148
306.0,leo1,-1.848,-5.163
308.0,leo1,-1.701,-5.249
310.0,leo1,-1.213,-5.269
312.0,leo1,-0.674,-5.284
314.0,leo1,-0.158,-5.309
316.0,leo1,0.378,-5.398
318.0,leo1,0.810,-5.659
320.0,leo1,0.958,-5.818
322.0,leo1,0.958,-5.819
324.0,leo1,0.958,-5.819
326.0,leo1,0.902,-5.741
328.0,leo1,0.842,-5.660
330.0,leo1,0.781,-5.577
332.0,leo1,1.038,-5.963
334.0,leo1,1.220,-6.442
336.0,leo1,1.502,-6.851
338.0,leo1,1.830,-7.097
340.0,leo1,2.100,-7.488
342.0,leo1,2.404,-7.901
344.0,leo1,2.818,-8.240
346.0,leo1,3.153,-8.605
348.0,leo1,3.451,-9.044
350.0,leo1,3.741,-9.469
352.0,leo1,4.063,-9.867
354.0,leo1,4.348,-10.179
356.0,leo1,4.380,-10.213
358.0,leo1,4.448,-10.348
360.0,leo1,4.424,-10.831
362.0,leo1,4.372,-11.326
364.0,leo1,4.309,-11.499
366.0,leo1,4.303,-11.509
368.0,leo1,4.299,-11.497
370.0,leo1,3.964,-11.332
372.0,leo1,3.496,-10.941
374.0,leo1,3.075,-10.618
376.0,leo1,2.677,-10.311
378.0,leo1,2.261,-9.973
380.0,leo1,1.850,-9.633
382.0,leo1,1.449,-9.342
384.0,leo1,0.970,-9.129
386.0,leo1,0.491,-9.000
388.0,leo1,-0.006,-8.857
390.0,leo1,-0.550,-8.745
392.0,leo1,-1.037,-8.686
394.0,leo1,-1.557,-8.601
396.0,leo1,-2.067,-8.453
398.0,leo1,-2.576,-8.285
400.0,leo1,-2.821,-8.159
402.0,leo1,-2.823,-8.167
404.0,leo1,-2.895,-8.269
406.0,leo1,-2.913,-8.729
408.0,leo1,-2.990,-9.264
410.0,leo1,-3.103,-9.766
412.0,leo1,-3.203,-10.298
414.0,leo1,-3.234,-10.498
416.0,leo1,-3.137,-10.560
418.0,leo1,-2.721,-10.600
420.0,leo1,-2.190,-10.602
422.0,leo1,-1.668,-10.674
424.0,leo1,-1.152,-10.776
426.0,leo1,-0.666,-10.944
428.0,leo1,-0.436,-10.958
430.0,leo1,-0.373,-10.932
432.0,leo1,-0.386,-10.976
434.0,leo1,-0.459,-10.905
436.0,leo1,-0.853,-10.824
438.0,leo1,-1.213,-10.676
440.0,leo1,-1.339,-10.398
442.0,leo1,-1.284,-9.876
444.0,leo1,-1.143,-9.377
446.0,leo1,-0.914,-8.887
448.0,leo1,-0.589,-8.499
450.0,leo1,-0.264,-8.095
452.0,leo1,0.065,-7.681
454.0,leo1,0.374,-7.257
456.0,leo1,0.714,-6.852
458.0,leo1,1.017,-6.464
460.0,leo1,1.187,-5.977
462.0,leo1,1.392,-5.613
464.0,leo1,1.726,-5.428
466.0,leo1,2.225,-5.329
468.0,leo1,2.720,-5.226
470.0,leo1,3.238,-5.081
472.0,leo1,3.712,-4.883
474.0,leo1,3.997,-4.742
476.0,leo1,3.993,-4.736
478.0,leo1,3.994,-4.736
480.0,leo1,3.994,-4.736
482.0,leo1,4.041,-4.807
484.0,leo1,4.098,-4.893
486.0,leo1,4.144,-4.960
488.0,leo1,4.178,-5.009
490.0,leo1,3.713,-4.903
492.0,leo1,3.117,-5.134
